Model,auc_mean,auc_std,auc_format,accuracy_mean,accuracy_std,accuracy_format,sensitivity_mean,sensitivity_std,sensitivity_format,specificity_mean,specificity_std,specificity_format,precision_mean,precision_std,precision_format,f1_mean,f1_std,f1_format
MultiModal,94.44,10.51,94.44% ± 10.51%,81.67,15.20,81.67% ± 15.20%,73.33,27.78,73.33% ± 27.78%,90.00,19.04,90.00% ± 19.04%,91.75,14.86,91.75% ± 14.86%,77.54,20.22,77.54% ± 20.22%
SVM,84.72,21.09,84.72% ± 21.09%,81.25,12.65,81.25% ± 12.65%,83.33,17.10,83.33% ± 17.10%,79.17,22.21,79.17% ± 22.21%,83.33,17.10,83.33% ± 17.10%,81.67,12.21,81.67% ± 12.21%
LogReg,86.11,18.69,86.11% ± 18.69%,79.17,14.18,79.17% ± 14.18%,75.00,28.36,75.00% ± 28.36%,83.33,17.10,83.33% ± 17.10%,85.42,15.26,85.42% ± 15.26%,75.60,19.42,75.60% ± 19.42%
RandomForest,84.72,12.34,84.72% ± 12.34%,75.00,14.81,75.00% ± 14.81%,66.67,34.20,66.67% ± 34.20%,83.33,29.62,83.33% ± 29.62%,90.00,17.77,90.00% ± 17.77%,68.75,21.27,68.75% ± 21.27%
FTIROnly,42.92,27.58,42.92% ± 27.58%,47.50,14.33,47.50% ± 14.33%,66.67,39.74,66.67% ± 39.74%,28.33,28.15,28.33% ± 28.15%,41.83,22.59,41.83% ± 22.59%,50.33,27.27,50.33% ± 27.27%
MZOnly,92.78,12.88,92.78% ± 12.88%,80.83,13.55,80.83% ± 13.55%,78.33,24.84,78.33% ± 24.84%,83.33,29.62,83.33% ± 29.62%,90.00,17.77,90.00% ± 17.77%,79.25,15.92,79.25% ± 15.92%
ConcatFusion,88.33,12.73,88.33% ± 12.73%,80.83,16.47,80.83% ± 16.47%,68.33,29.57,68.33% ± 29.57%,93.33,13.68,93.33% ± 13.68%,88.33,24.84,88.33% ± 24.84%,74.33,26.03,74.33% ± 26.03%
GateOnlyFusion,96.67,8.14,96.67% ± 8.14%,82.92,10.97,82.92% ± 10.97%,80.00,22.69,80.00% ± 22.69%,85.83,23.74,85.83% ± 23.74%,90.58,15.24,90.58% ± 15.24%,81.36,13.59,81.36% ± 13.59%
CoAttnOnlyFusion,91.11,11.17,91.11% ± 11.17%,82.50,15.74,82.50% ± 15.74%,76.67,28.82,76.67% ± 28.82%,88.33,22.36,88.33% ± 22.36%,91.42,15.52,91.42% ± 15.52%,78.95,20.67,78.95% ± 20.67%
SelfAttnFusion,87.50,13.47,87.50% ± 13.47%,76.67,17.44,76.67% ± 17.44%,63.33,34.03,63.33% ± 34.03%,90.00,19.04,90.00% ± 19.04%,76.33,36.16,76.33% ± 36.16%,67.08,32.77,67.08% ± 32.77%
SelfAttnOnlyFusion,90.00,13.92,90.00% ± 13.92%,81.67,15.20,81.67% ± 15.20%,78.33,29.17,78.33% ± 29.17%,85.00,27.52,85.00% ± 27.52%,90.75,16.72,90.75% ± 16.72%,78.79,19.74,78.79% ± 19.74%
