关键MZ值分析 (Top 50 individual features):
MZ值 392.7486: 癌症SHAP=0.000172, 良性SHAP=0.041479, 差异=0.041306
MZ值 395.2252: 癌症SHAP=0.000296, 良性SHAP=0.035587, 差异=0.035290
MZ值 738.8022: 癌症SHAP=0.054371, 良性SHAP=0.022177, 差异=0.032194
MZ值 701.3956: 癌症SHAP=0.000261, 良性SHAP=0.022731, 差异=0.022470
MZ值 255.1124: 癌症SHAP=0.000207, 良性SHAP=0.021532, 差异=0.021325
MZ值 241.0316: 癌症SHAP=0.003705, 良性SHAP=0.024465, 差异=0.020760
MZ值 202.0321: 癌症SHAP=0.000067, 良性SHAP=0.020540, 差异=0.020473
MZ值 373.2127: 癌症SHAP=0.000114, 良性SHAP=0.018523, 差异=0.018409
MZ值 365.1168: 癌症SHAP=0.000187, 良性SHAP=0.017805, 差异=0.017619
MZ值 740.4656: 癌症SHAP=0.000031, 良性SHAP=0.016154, 差异=0.016123
MZ值 370.7353: 癌症SHAP=0.000089, 良性SHAP=0.015995, 差异=0.015906
MZ值 876.5729: 癌症SHAP=0.017123, 良性SHAP=0.001818, 差异=0.015305
MZ值 287.1389: 癌症SHAP=0.000092, 良性SHAP=0.013294, 差异=0.013202
MZ值 367.1317: 癌症SHAP=0.000475, 良性SHAP=0.012942, 差异=0.012467
MZ值 800.5438: 癌症SHAP=0.012517, 良性SHAP=0.000455, 差异=0.012062
MZ值 169.0968: 癌症SHAP=0.000252, 良性SHAP=0.011473, 差异=0.011220
MZ值 250.0530: 癌症SHAP=0.000095, 良性SHAP=0.011174, 差异=0.011079
MZ值 440.3372: 癌症SHAP=0.010607, 良性SHAP=0.001030, 差异=0.009577
MZ值 355.1572: 癌症SHAP=0.001001, 良性SHAP=0.009400, 差异=0.008399
MZ值 175.1189: 癌症SHAP=0.008175, 良性SHAP=0.000363, 差异=0.007812
MZ值 552.2733: 癌症SHAP=0.002200, 良性SHAP=0.009592, 差异=0.007392
MZ值 333.0904: 癌症SHAP=0.016478, 良性SHAP=0.023864, 差异=0.007386
MZ值 367.1320: 癌症SHAP=0.000231, 良性SHAP=0.007420, 差异=0.007189
MZ值 416.0945: 癌症SHAP=0.001424, 良性SHAP=0.008448, 差异=0.007024
MZ值 597.3037: 癌症SHAP=0.007502, 良性SHAP=0.000493, 差异=0.007009
MZ值 520.3331: 癌症SHAP=0.000146, 良性SHAP=0.007089, 差异=0.006943
MZ值 384.0873: 癌症SHAP=0.006571, 良性SHAP=0.000259, 差异=0.006312
MZ值 241.0316: 癌症SHAP=0.001402, 良性SHAP=0.007607, 差异=0.006205
MZ值 476.3065: 癌症SHAP=0.000048, 良性SHAP=0.006197, 差异=0.006148
MZ值 608.3859: 癌症SHAP=0.000103, 良性SHAP=0.006208, 差异=0.006105
MZ值 709.9340: 癌症SHAP=0.006315, 良性SHAP=0.000348, 差异=0.005967
MZ值 124.0061: 癌症SHAP=0.006042, 良性SHAP=0.000241, 差异=0.005801
MZ值 381.1729: 癌症SHAP=0.000587, 良性SHAP=0.006282, 差异=0.005695
MZ值 287.0494: 癌症SHAP=0.000189, 良性SHAP=0.005420, 差异=0.005232
MZ值 192.0474: 癌症SHAP=0.008292, 良性SHAP=0.013446, 差异=0.005155
MZ值 166.9736: 癌症SHAP=0.000104, 良性SHAP=0.004906, 差异=0.004801
MZ值 169.0972: 癌症SHAP=0.000102, 良性SHAP=0.004879, 差异=0.004777
MZ值 180.9716: 癌症SHAP=0.000613, 良性SHAP=0.005336, 差异=0.004723
MZ值 792.0555: 癌症SHAP=0.003091, 良性SHAP=0.007666, 差异=0.004575
MZ值 854.5820: 癌症SHAP=0.006943, 良性SHAP=0.002386, 差异=0.004557
MZ值 504.8256: 癌症SHAP=0.007124, 良性SHAP=0.002681, 差异=0.004444
MZ值 452.9220: 癌症SHAP=0.000128, 良性SHAP=0.004508, 差异=0.004379
MZ值 379.2470: 癌症SHAP=0.005042, 良性SHAP=0.000674, 差异=0.004368
MZ值 229.1554: 癌症SHAP=0.002083, 良性SHAP=0.006435, 差异=0.004353
MZ值 805.3498: 癌症SHAP=0.004913, 良性SHAP=0.000633, 差异=0.004281
MZ值 241.0316: 癌症SHAP=0.000058, 良性SHAP=0.004236, 差异=0.004178
MZ值 694.4299: 癌症SHAP=0.000268, 良性SHAP=0.004287, 差异=0.004019
MZ值 316.9468: 癌症SHAP=0.000041, 良性SHAP=0.003986, 差异=0.003945
MZ值 171.0583: 癌症SHAP=0.004199, 良性SHAP=0.007968, 差异=0.003769
MZ值 763.1896: 癌症SHAP=0.005247, 良性SHAP=0.001504, 差异=0.003743
