Model,auc_mean,auc_95CI,auc_formatted,accuracy_mean,accuracy_95CI,accuracy_formatted,sensitivity_mean,sensitivity_95CI,sensitivity_formatted,specificity_mean,specificity_95CI,specificity_formatted,precision_mean,precision_95CI,precision_formatted,f1_mean,f1_95CI,f1_formatted,mcc_mean,mcc_95CI,mcc_formatted
MultiModal,93.33%,"[88.5%, 98.2%]","93.33% [88.5%, 98.2%]",79.17%,"[71.4%, 87.0%]","79.17% [71.4%, 87.0%]",66.67%,"[52.4%, 80.9%]","66.67% [52.4%, 80.9%]",91.67%,"[85.2%, 98.2%]","91.67% [85.2%, 98.2%]",81.67%,"[67.9%, 95.5%]","81.67% [67.9%, 95.5%]",71.17%,"[57.8%, 84.5%]","71.17% [57.8%, 84.5%]",60.65%,"[45.4%, 75.9%]","60.65% [45.4%, 75.9%]"
SVM,86.11%,"[79.6%, 92.6%]","86.11% [79.6%, 92.6%]",87.50%,"[81.3%, 93.7%]","87.50% [81.3%, 93.7%]",83.33%,"[75.8%, 90.8%]","83.33% [75.8%, 90.8%]",91.67%,"[85.2%, 98.2%]","91.67% [85.2%, 98.2%]",91.67%,"[85.2%, 98.2%]","91.67% [85.2%, 98.2%]",86.67%,"[80.3%, 93.0%]","86.67% [80.3%, 93.0%]",76.01%,"[63.7%, 88.3%]","76.01% [63.7%, 88.3%]"
LogReg,86.11%,"[77.9%, 94.3%]","86.11% [77.9%, 94.3%]",79.17%,"[73.0%, 85.4%]","79.17% [73.0%, 85.4%]",75.00%,"[62.6%, 87.4%]","75.00% [62.6%, 87.4%]",83.33%,"[75.8%, 90.8%]","83.33% [75.8%, 90.8%]",85.42%,"[78.7%, 92.1%]","85.42% [78.7%, 92.1%]",75.60%,"[67.1%, 84.1%]","75.60% [67.1%, 84.1%]",62.19%,"[50.6%, 73.7%]","62.19% [50.6%, 73.7%]"
RandomForest,84.72%,"[79.3%, 90.1%]","84.72% [79.3%, 90.1%]",75.00%,"[68.5%, 81.5%]","75.00% [68.5%, 81.5%]",66.67%,"[51.7%, 81.7%]","66.67% [51.7%, 81.7%]",83.33%,"[70.4%, 96.3%]","83.33% [70.4%, 96.3%]",90.00%,"[82.2%, 97.8%]","90.00% [82.2%, 97.8%]",68.75%,"[59.4%, 78.1%]","68.75% [59.4%, 78.1%]",58.54%,"[47.8%, 69.3%]","58.54% [47.8%, 69.3%]"
FTIROnly,48.19%,"[39.4%, 57.0%]","48.19% [39.4%, 57.0%]",52.92%,"[46.5%, 59.3%]","52.92% [46.5%, 59.3%]",43.33%,"[28.5%, 58.2%]","43.33% [28.5%, 58.2%]",62.50%,"[46.8%, 78.2%]","62.50% [46.8%, 78.2%]",42.92%,"[29.4%, 56.5%]","42.92% [29.4%, 56.5%]",40.73%,"[28.4%, 53.0%]","40.73% [28.4%, 53.0%]",6.42%,"[-8.1%, 20.9%]","6.42% [-8.1%, 20.9%]"
MZOnly,94.17%,"[89.1%, 99.3%]","94.17% [89.1%, 99.3%]",80.00%,"[73.5%, 86.5%]","80.00% [73.5%, 86.5%]",76.67%,"[64.0%, 89.3%]","76.67% [64.0%, 89.3%]",83.33%,"[70.4%, 96.3%]","83.33% [70.4%, 96.3%]",85.00%,"[73.3%, 96.7%]","85.00% [73.3%, 96.7%]",76.75%,"[66.6%, 86.9%]","76.75% [66.6%, 86.9%]",65.40%,"[53.7%, 77.1%]","65.40% [53.7%, 77.1%]"
ConcatFusion,93.06%,"[88.0%, 98.1%]","93.06% [88.0%, 98.1%]",76.67%,"[69.0%, 84.3%]","76.67% [69.0%, 84.3%]",66.67%,"[50.9%, 82.4%]","66.67% [50.9%, 82.4%]",86.67%,"[75.7%, 97.7%]","86.67% [75.7%, 97.7%]",75.67%,"[59.7%, 91.6%]","75.67% [59.7%, 91.6%]",67.92%,"[53.5%, 82.3%]","67.92% [53.5%, 82.3%]",57.19%,"[42.3%, 72.0%]","57.19% [42.3%, 72.0%]"
GateOnlyFusion,68.89%,"[58.9%, 78.9%]","68.89% [58.9%, 78.9%]",60.42%,"[52.7%, 68.1%]","60.42% [52.7%, 68.1%]",49.17%,"[31.2%, 67.1%]","49.17% [31.2%, 67.1%]",71.67%,"[59.3%, 84.0%]","71.67% [59.3%, 84.0%]",47.67%,"[31.4%, 63.9%]","47.67% [31.4%, 63.9%]",46.02%,"[30.6%, 61.4%]","46.02% [30.6%, 61.4%]",23.54%,"[6.7%, 40.4%]","23.54% [6.7%, 40.4%]"
CoAttnOnlyFusion,88.89%,"[83.0%, 94.8%]","88.89% [83.0%, 94.8%]",77.50%,"[70.3%, 84.7%]","77.50% [70.3%, 84.7%]",65.00%,"[51.2%, 78.8%]","65.00% [51.2%, 78.8%]",90.00%,"[81.7%, 98.3%]","90.00% [81.7%, 98.3%]",81.33%,"[67.4%, 95.2%]","81.33% [67.4%, 95.2%]",69.58%,"[56.8%, 82.3%]","69.58% [56.8%, 82.3%]",58.29%,"[44.3%, 72.3%]","58.29% [44.3%, 72.3%]"
SelfAttnFusion,72.08%,"[62.5%, 81.7%]","72.08% [62.5%, 81.7%]",65.00%,"[58.1%, 71.9%]","65.00% [58.1%, 71.9%]",61.67%,"[43.8%, 79.6%]","61.67% [43.8%, 79.6%]",68.33%,"[56.7%, 79.9%]","68.33% [56.7%, 79.9%]",56.92%,"[42.2%, 71.6%]","56.92% [42.2%, 71.6%]",55.73%,"[41.5%, 70.0%]","55.73% [41.5%, 70.0%]",34.23%,"[19.0%, 49.5%]","34.23% [19.0%, 49.5%]"
SelfAttnOnlyFusion,88.89%,"[82.8%, 95.0%]","88.89% [82.8%, 95.0%]",82.50%,"[74.5%, 90.5%]","82.50% [74.5%, 90.5%]",80.00%,"[65.5%, 94.5%]","80.00% [65.5%, 94.5%]",85.00%,"[72.9%, 97.1%]","85.00% [72.9%, 97.1%]",85.33%,"[73.8%, 96.9%]","85.33% [73.8%, 96.9%]",78.33%,"[66.3%, 90.3%]","78.33% [66.3%, 90.3%]",69.56%,"[55.2%, 83.9%]","69.56% [55.2%, 83.9%]"
