Model,auc_mean,auc_std,auc_95CI,accuracy_mean,accuracy_std,accuracy_95CI,sensitivity_mean,sensitivity_std,sensitivity_95CI,specificity_mean,specificity_std,specificity_95CI,precision_mean,precision_std,precision_95CI,f1_mean,f1_std,f1_95CI,mcc_mean,mcc_std,mcc_95CI
MultiModal,0.9666666666666666,0.07299407614797625,"[93.5%, 99.9%]",0.8083333333333332,0.1555503340811216,"[74.0%, 87.7%]",0.7,0.3039698353763305,"[56.7%, 83.3%]",0.9166666666666666,0.1480872194397731,"[85.2%, 98.2%]",0.875,0.24557487156437577,"[76.7%, 98.3%]",0.7457142857142858,0.25556183411497885,"[63.4%, 85.8%]",0.651574753455956,0.29400502560236874,"[52.3%, 78.0%]"
SVM,0.8472222222222221,0.21087629292118007,"[75.5%, 94.0%]",0.8125,0.1264535372222675,"[75.7%, 86.8%]",0.8333333333333333,0.17099639201419237,"[75.8%, 90.8%]",0.7916666666666666,0.22213082915965965,"[69.4%, 88.9%]",0.8333333333333333,0.17099639201419237,"[75.8%, 90.8%]",0.8166666666666667,0.12211584951084108,"[76.3%, 87.0%]",0.6544475959273768,0.24668209948495132,"[54.6%, 76.3%]"
LogReg,0.861111111111111,0.186883054751752,"[77.9%, 94.3%]",0.7916666666666667,0.14178271820390015,"[73.0%, 85.4%]",0.75,0.28356543640780024,"[62.6%, 87.4%]",0.8333333333333333,0.17099639201419237,"[75.8%, 90.8%]",0.8541666666666666,0.15264481188855136,"[78.7%, 92.1%]",0.7559523809523809,0.19417999851275408,"[67.1%, 84.1%]",0.6219134275049598,0.26358153930008277,"[50.6%, 73.7%]"
RandomForest,0.8472222222222221,0.12340601619981091,"[79.3%, 90.1%]",0.7499999999999999,0.1480872194397731,"[68.5%, 81.5%]",0.6666666666666667,0.34199278402838473,"[51.7%, 81.7%]",0.8333333333333333,0.2961744388795462,"[70.4%, 96.3%]",0.9,0.17770466332772772,"[82.2%, 97.8%]",0.6875,0.21267407730585017,"[59.4%, 78.1%]",0.5854101966249685,0.2455818047595627,"[47.8%, 69.3%]"
FTIROnly,0.42777777777777776,0.24389891279404727,"[32.1%, 53.5%]",0.4999999999999999,0.14048787173725408,"[43.8%, 56.2%]",0.5583333333333333,0.27717771443627454,"[43.7%, 68.0%]",0.4416666666666667,0.3024026594146497,"[30.9%, 57.4%]",0.5266666666666666,0.21015171350730993,"[43.5%, 61.9%]",0.5057142857142857,0.16748706070333705,"[43.2%, 57.9%]",0.013019019788368285,0.3304214119680932,"[-13.2%, 15.8%]"
MZOnly,0.925,0.13400779704411223,"[86.6%, 98.4%]",0.8083333333333332,0.1354546168145415,"[74.9%, 86.8%]",0.7833333333333333,0.24838660679019822,"[67.4%, 89.2%]",0.8333333333333333,0.2961744388795462,"[70.4%, 96.3%]",0.9,0.17770466332772772,"[82.2%, 97.8%]",0.7925000000000001,0.15917137404630732,"[72.3%, 86.2%]",0.676372811615275,0.2236534436358085,"[57.8%, 77.4%]"
ConcatFusion,0.9,0.11901698296973283,"[84.8%, 95.2%]",0.8166666666666667,0.17013926184468017,"[74.2%, 89.1%]",0.7166666666666666,0.3111006681622432,"[58.0%, 85.3%]",0.9166666666666666,0.1480872194397731,"[85.2%, 98.2%]",0.8708333333333333,0.24849694363140978,"[76.2%, 98.0%]",0.7561904761904761,0.2671477936811299,"[63.9%, 87.3%]",0.6621754029446404,0.3224020993096817,"[52.1%, 80.3%]"
GateOnlyFusion,0.9388888888888889,0.11096481597049498,"[89.0%, 98.8%]",0.7958333333333333,0.1391153125124571,"[73.5%, 85.7%]",0.7333333333333333,0.29814239699997197,"[60.3%, 86.4%]",0.8583333333333332,0.23740187261857693,"[75.4%, 96.2%]",0.8516666666666668,0.2541411405070923,"[74.0%, 96.3%]",0.7490476190476191,0.2347883131145501,"[64.6%, 85.2%]",0.6401802914757566,0.25627168278634493,"[52.8%, 75.2%]"
CoAttnOnlyFusion,0.9277777777777778,0.10978743712978713,"[88.0%, 97.6%]",0.8166666666666667,0.15198491768816527,"[75.0%, 88.3%]",0.7833333333333333,0.2916979933051402,"[65.5%, 91.1%]",0.85,0.27519264916063213,"[72.9%, 97.1%]",0.9075000000000001,0.1672336845948145,"[83.4%, 98.1%]",0.7878571428571429,0.19739305252673334,"[70.1%, 87.4%]",0.6926674742122907,0.25175545814051964,"[58.2%, 80.3%]"
SelfAttnFusion,0.8972222222222221,0.1315610774090074,"[84.0%, 95.5%]",0.775,0.173331646415543,"[69.9%, 85.1%]",0.6499999999999999,0.332894447911485,"[50.4%, 79.6%]",0.9,0.19041352352582647,"[81.7%, 98.3%]",0.8133333333333332,0.31685589913825724,"[67.4%, 95.2%]",0.6908333333333333,0.3004613898384046,"[55.9%, 82.3%]",0.5845360827196384,0.3333084397702942,"[43.8%, 73.1%]"
SelfAttnOnlyFusion,0.9222222222222222,0.13047621080275545,"[86.5%, 97.9%]",0.8333333333333333,0.16222142113076254,"[76.2%, 90.4%]",0.8166666666666668,0.29568040277433894,"[68.7%, 94.6%]",0.85,0.27519264916063213,"[72.9%, 97.1%]",0.9075000000000001,0.1672336845948145,"[83.4%, 98.1%]",0.8078571428571429,0.20800184870697894,"[71.7%, 89.9%]",0.7219567960936358,0.2690693210899423,"[60.4%, 84.0%]"
