noise_std,scale_range,shift_range,best_acc,precision,recall,f1
0.1,"(0.9, 1.1)",0.0,0.8784722222222222,0.9310344827586207,0.75,0.8307692307692308
0.1,"(0.95, 1.05)",0.0,0.8715277777777778,0.9454545454545454,0.7222222222222222,0.8188976377952756
0.0,"(0.95, 1.05)",0.0,0.8680555555555556,0.9693877551020408,0.6597222222222222,0.7851239669421488
0.05,"(0.95, 1.05)",0.0,0.8611111111111112,0.956989247311828,0.6180555555555556,0.7510548523206751
0.05,"(0.9, 1.1)",0.03,0.8541666666666666,0.8231292517006803,0.8402777777777778,0.8316151202749141
0.05,"(0.95, 1.05)",0.03,0.8472222222222222,0.9345794392523364,0.6944444444444444,0.796812749003984
0.1,"(0.95, 1.05)",0.03,0.8368055555555556,0.8043478260869565,0.7708333333333334,0.7872340425531915
0.05,"(0.9, 1.1)",0.0,0.8368055555555556,0.9550561797752809,0.5902777777777778,0.7296137339055794
0.1,"(0.9, 1.1)",0.03,0.8333333333333334,0.8076923076923077,0.7291666666666666,0.7664233576642335
0.0,"(0.9, 1.1)",0.03,0.7777777777777778,0.926829268292683,0.5277777777777778,0.672566371681416
0.0,"(0.95, 1.05)",0.03,0.7604166666666666,0.9464285714285714,0.3680555555555556,0.53
0.0,"(0.9, 1.1)",0.0,0.7430555555555556,1.0,0.4791666666666667,0.647887323943662
0.0,"(0.95, 1.05)",0.05,0.6701388888888888,0.6909090909090909,0.2638888888888889,0.38190954773869346
0.1,"(0.95, 1.05)",0.05,0.6701388888888888,0.7192982456140351,0.2847222222222222,0.4079601990049751
0.05,"(0.9, 1.1)",0.05,0.65625,0.6981132075471698,0.2569444444444444,0.3756345177664975
0.1,"(0.9, 1.1)",0.05,0.6493055555555556,0.6981132075471698,0.2569444444444444,0.3756345177664975
0.05,"(0.95, 1.05)",0.05,0.6319444444444444,0.5428571428571428,0.13194444444444445,0.2122905027932961
0.0,"(0.9, 1.1)",0.05,0.6284722222222222,0.6792452830188679,0.25,0.36548223350253806
